gene_id,gene_symbol,specificity_score,mean_progenitor_residual,mean_differentiated_residual
ENSG00000129003,VPS13C,0.5247816827692615,0.09701575922972122,0.08785303938720301
ENSG00000166471,TMEM41B,0.5247793675760429,0.033037075933313044,0.029917144401055994
ENSG00000106367,AP1S1,0.5247650338885897,0.028001821122325077,0.025358862829551947
ENSG00000202314,SNORD6,0.524732044355614,0.0004181153937154406,0.00037870156879520284
ENSG00000116857,TMEM9,0.5247175718874015,0.050586847505382136,0.04582091586229388
ENSG00000221989,OR2A2,0.5247132338601626,0.0001044431676524388,9.460492359557646e-05
ENSG00000103227,LMF1,0.5247042031471596,0.02452699529358719,0.02221742784324882
ENSG00000133318,RTN3,0.5246954307014439,0.09643472008686231,0.08735708453766564
ENSG00000284395,PERCC1,0.5246931699558847,0.00011168270764352859,0.00010117065893053733
ENSG00000160193,WDR4,0.5246822018724845,0.018335551653435304,0.016610462501417744
ENSG00000100941,PNN,0.5246663339163923,0.07872107186787243,0.07131918568068406
ENSG00000166478,ZNF143,0.5246296337900611,0.023224616231117233,0.02104397771645785
ENSG00000170166,HOXD4,0.5245920806238416,0.002411619601624455,0.0021855134674767266
ENSG00000166912,MTMR10,0.5245581229307112,0.052600377155688396,0.047675216446426825
ENSG00000275700,AATF,0.5245510309197932,0.045115745715641406,0.04089256054301098
ENSG00000144962,SPATA16,0.5245478409463535,0.0006475930156171147,0.000586980773589169
ENSG00000177830,CHID1,0.524534359478395,0.03873205655484954,0.035108781237674275
ENSG00000125779,PANK2,0.5245333131397528,0.049231145564653425,0.04462589712719298
ENSG00000131788,PIAS3,0.5244674116889331,0.01425729212474081,0.01292703202388132
ENSG00000067715,SYT1,0.5244508210242911,0.021220319840949055,0.019241662465617277
ENSG00000166439,RNF169,0.5244316584708721,0.03613051188563156,0.032764092972855076
ENSG00000214642,DEFB113,0.5244126836888365,9.331924747216508e-06,8.463077237811113e-06
ENSG00000122778,KIAA1549,0.5243897695916286,0.01719293472590749,0.015593621616136677
ENSG00000181638,ZFP41,0.5243842880038717,0.0022747459930448693,0.0020631909838694233
ENSG00000113073,SLC4A9,0.5243788069335457,0.0007528696631380995,0.0006828665893254947
ENSG00000198947,DMD,0.5243623423838921,0.12423374562622388,0.11268972424276766
ENSG00000168124,OR1F1,0.5243539263702328,6.252981716631581e-05,5.6721348929015606e-05
ENSG00000164687,FABP5,0.5242997082908647,0.14516857977706824,0.13171232914102973
ENSG00000171206,TRIM8,0.5242980704026685,0.03041635572247458,0.02759712447041336
ENSG00000120837,NFYB,0.5242775509298728,0.027742947222610094,0.02517357986004765
ENSG00000104381,GDAP1,0.5242731050031924,0.012473821178463846,0.011318780538894688
ENSG00000119396,RAB14,0.5242445303623905,0.053527481660989064,0.04857655292757886
ENSG00000171115,GIMAP8,0.5242117985206826,0.033484139948861236,0.03039107240491056
ENSG00000162771,GARIN4,0.5242042670438285,0.009644608505652106,0.008753960739198631
ENSG00000156869,FRRS1,0.5241796307966334,0.025386530389166988,0.0230444442188796
ENSG00000135926,TMBIM1,0.5241694454717076,0.05383191256178964,0.04886753515849006
ENSG00000273706,LHX1,0.5241618136660409,0.0006461471456654254,0.0005865774230058531
ENSG00000221823,PPP3R1,0.5241089581678224,0.024777445659693614,0.022497925756033543
ENSG00000188690,UROS,0.5241029978182062,0.031266036641031184,0.02839024613389834
ENSG00000164597,COG5,0.5240663627348677,0.07651396238191964,0.06948655935091495
ENSG00000180787,ZFP3,0.5240574712275512,0.006731757616455547,0.0061136992008799474
ENSG00000198700,IPO9,0.524028170286393,0.02705376121359187,0.024572778632169456
ENSG00000049769,PPP1R3F,0.5240056228238776,0.007349839135692493,0.006676420918701677
ENSG00000137145,DENND4C,0.5239721414208949,0.12747117630296376,0.11580736128739465
ENSG00000187650,VMAC,0.5239648761252967,0.013148093866930596,0.011945370344182799
ENSG00000212304,SNORD12,0.5239463692832306,0.00010227091660180224,9.292256616192216e-05
ENSG00000151665,PIGF,0.5239301260675616,0.0224583192631271,0.02040678458515031
ENSG00000095066,HOOK2,0.5239054609424706,0.04493508993897699,0.040834372853301965
ENSG00000126821,SGPP1,0.5238702278104415,0.03741569762301017,0.03400599354541553
